Approve	Disapprove	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
54.0	40.0	6.0	arg-27037	ARG	2017-01-17	2017-01-20		Adults	1100	3.0	Live Phone	Nonpartisan	None
59.0	37.0		gallup-27036	Gallup	2017-01-17	2017-01-19		Adults	1500	3.0	Live Phone	Nonpartisan	None
58.0	38.0		gallup-27033	Gallup	2017-01-16	2017-01-18		Adults	1500	3.0	Live Phone	Nonpartisan	None
57.0	39.0	4.0	fox-27035	FOX	2017-01-15	2017-01-18		Registered Voters	1006	3.0	Live Phone	Nonpartisan	None
95.0	4.0	1.0	fox-27035	FOX	2017-01-15	2017-01-18		Registered Voters - Democrat		4.5	Live Phone	Nonpartisan	None
13.0	82.0	5.0	fox-27035	FOX	2017-01-15	2017-01-18		Registered Voters - Republican		5.0	Live Phone	Nonpartisan	None
55.0	37.0	8.0	fox-27035	FOX	2017-01-15	2017-01-18		Registered Voters - independent		7.0	Live Phone	Nonpartisan	None
57.0	39.0		gallup-27028	Gallup	2017-01-15	2017-01-17		Adults	1500	3.0	Live Phone	Nonpartisan	None
52.0	40.0	8.0	yougov-economist-27025	YouGov/Economist	2017-01-14	2017-01-17		Adults	1447	3.0	Internet	Nonpartisan	None
86.0	10.0	4.0	yougov-economist-27025	YouGov/Economist	2017-01-14	2017-01-17		Adults - Democrat	531		Internet	Nonpartisan	None
19.0	78.0	4.0	yougov-economist-27025	YouGov/Economist	2017-01-14	2017-01-17		Adults - Republican	362		Internet	Nonpartisan	None
45.0	41.0	14.0	yougov-economist-27025	YouGov/Economist	2017-01-14	2017-01-17		Adults - independent	554		Internet	Nonpartisan	None
56.0	41.0	4.0	ipsos-reuters-27030	Ipsos/Reuters	2017-01-13	2017-01-17	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults	2070	2.5	Internet	Nonpartisan	None
89.0	11.0	0.0	ipsos-reuters-27030	Ipsos/Reuters	2017-01-13	2017-01-17	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - Democrat	895	3.7	Internet	Nonpartisan	None
25.0	74.0	1.0	ipsos-reuters-27030	Ipsos/Reuters	2017-01-13	2017-01-17	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - Republican	792	4.0	Internet	Nonpartisan	None
50.0	45.0	5.0	ipsos-reuters-27030	Ipsos/Reuters	2017-01-13	2017-01-17	Overall, do you approve or disapprove about the way Barack Obama is handling his job as President?	Adults - independent	216	7.6	Internet	Nonpartisan	None
62.0	37.0	2.0	surveymonkey-27034	SurveyMonkey	2017-01-12	2017-01-17		Adults	2546		Internet	Nonpartisan	None
93.0	6.0	2.0	surveymonkey-27034	SurveyMonkey	2017-01-12	2017-01-17		Adults - Democrat	842		Internet	Nonpartisan	None
23.0	76.0	1.0	surveymonkey-27034	SurveyMonkey	2017-01-12	2017-01-17		Adults - Republican	671		Internet	Nonpartisan	None
62.0	38.0	0.0	surveymonkey-27034	SurveyMonkey	2017-01-12	2017-01-17		Adults - independent	913		Internet	Nonpartisan	None
